kind,stage,layer,count,minimum,maximum,smallest_nonzero,spacing_in_sample,int8_scale,int16_scale,int8_relative_rmse,int16_relative_rmse,fp16_out_of_range_percent,fp8_e4m3_out_of_range_percent,fp8_e5m2_out_of_range_percent,plot
activations,end,layer1.0.bn1,3276800000,-11.777792,12.646356,1.5692469546024768e-10,7.450580596923828e-09,0.099577606,0.00038594793,0.02732162,0.000105119834,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer1_0_bn1.png
activations,end,layer1.0.relu,6553600000,0.0,19.910496,1.5692469546024768e-10,7.450580596923828e-09,0.15677556,0.0006076387,0.04235153,0.00016365376,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer1_0_relu.png
activations,end,layer1.0.conv2,3276800000,-64.098526,52.361656,9.313225746154785e-10,2.9802322387695312e-08,0.5047128,0.0019561914,0.14477625,0.000561803,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer1_0_conv2.png
activations,end,layer1.0.bn2,3276800000,-13.820507,15.42141,1.108675817818039e-09,2.9802322387695312e-08,0.12142842,0.00047063845,0.034052707,0.00013187563,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer1_0_bn2.png
activations,end,layer1.1.conv1,3276800000,-58.08488,102.7101,1.862645149230957e-09,2.9802322387695312e-08,0.8087409,0.0031345591,0.1388761,0.0005369769,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer1_1_conv1.png
activations,end,layer1.1.bn1,3276800000,-16.427849,16.837185,1.495639168069829e-10,1.4901161193847656e-08,0.13257626,0.00051384576,0.038847584,0.000150846,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer1_1_bn1.png
activations,end,layer1.1.relu,6553600000,0.0,31.654186,1.495639168069829e-10,2.9802322387695312e-08,0.24924555,0.00096603855,0.07690611,0.00029813533,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer1_1_relu.png
activations,end,layer1.1.conv2,3276800000,-37.963577,83.761284,9.313225746154785e-10,7.450580596923828e-09,0.6595377,0.0025562695,0.20724075,0.000802456,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer1_1_conv2.png
activations,end,layer1.1.bn2,3276800000,-17.33148,17.79296,4.781113283058858e-10,2.9802322387695312e-08,0.14010204,0.0005430146,0.043301053,0.0001684664,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer1_1_bn2.png
activations,end,layer2.0.conv1,1638400000,-68.32949,142.67215,5.24789101064016e-11,1.4901161193847656e-08,1.1234027,0.004354141,0.23638216,0.000915703,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer2_0_conv1.png
activations,end,layer2.0.bn1,1638400000,-17.17135,18.323807,1.6834521276987147e-10,1.4901161193847656e-08,0.14428194,0.00055921526,0.042606827,0.00016463612,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer2_0_bn1.png
activations,end,layer2.0.relu,3276800000,0.0,37.485497,1.6834521276987147e-10,2.9802322387695312e-08,0.2951614,0.0011440015,0.087276064,0.00033834708,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer2_0_relu.png
activations,end,layer2.0.conv2,1638400000,-97.86326,137.87067,3.725290298461914e-09,2.9802322387695312e-08,1.0855958,0.0042076074,0.30452752,0.0011718413,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer2_0_conv2.png
activations,end,layer2.0.bn2,1638400000,-22.162035,22.825264,4.527267893905673e-09,7.450580596923828e-09,0.17972648,0.000696593,0.052412968,0.00020379378,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer2_0_bn2.png
activations,end,layer2.0.downsample.0,1638400000,-30.712858,30.15407,5.194145114018056e-11,2.9802322387695312e-08,0.24183352,0.00093731063,0.04652538,0.00017989389,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer2_0_downsample_0.png
activations,end,layer2.0.downsample.1,1638400000,-17.571636,18.542067,4.1584069521150013e-10,1.30385160446167e-08,0.14600052,0.00056587625,0.043139786,0.00016756859,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer2_0_downsample_1.png
activations,end,layer2.1.conv1,1638400000,-196.97054,152.26872,7.450580596923828e-09,2.9802322387695312e-08,1.5509491,0.006011247,0.34288025,0.0013238081,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer2_1_conv1.png
activations,end,layer2.1.bn1,1638400000,-23.411781,24.047722,3.889275568269568e-10,1.7695128917694092e-08,0.18935214,0.00073390064,0.05650133,0.00021851264,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer2_1_bn1.png
activations,end,layer2.1.relu,3276800000,0.0,61.459038,1.3063078396768901e-09,1.7695128917694092e-08,0.48392943,0.0018756383,0.14190656,0.0005518433,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer2_1_relu.png
activations,end,layer2.1.conv2,1638400000,-128.80176,106.6603,2.7939677238464355e-09,2.9802322387695312e-08,1.0141871,0.003930838,0.3096898,0.001196394,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer2_1_conv2.png
activations,end,layer2.1.bn2,1638400000,-25.443691,26.028929,2.4952317989601625e-10,5.587935447692871e-09,0.2049522,0.0007943641,0.061263964,0.00023848336,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer2_1_bn2.png
activations,end,layer3.0.conv1,819200000,-187.74811,300.85306,1.9673085382976296e-10,1.4901161193847656e-08,2.3689218,0.009181587,0.534612,0.0021161488,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer3_0_conv1.png
activations,end,layer3.0.bn1,819200000,-26.220863,27.223713,8.471759960215763e-10,2.9802322387695312e-08,0.21435994,0.00083082716,0.060739215,0.00023734242,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer3_0_bn1.png
activations,end,layer3.0.relu,1638400000,0.0,50.110622,8.471759960215763e-10,4.470348358154297e-08,0.39457184,0.0015293015,0.11386978,0.0004422244,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer3_0_relu.png
activations,end,layer3.0.conv2,819200000,-136.88054,217.85785,3.725290298461914e-09,1.4901161193847656e-08,1.7154162,0.006648697,0.5259962,0.0020652781,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer3_0_conv2.png
activations,end,layer3.0.bn2,819200000,-32.652626,29.5413,2.6265745134423923e-10,3.725290298461914e-09,0.2571073,0.0009965095,0.07554484,0.00029227644,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer3_0_bn2.png
activations,end,layer3.0.downsample.0,819200000,-83.15288,83.93505,7.618023989408584e-10,2.9802322387695312e-08,0.6609059,0.0025615727,0.15192537,0.0005876376,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer3_0_downsample_0.png
activations,end,layer3.0.downsample.1,819200000,-26.28416,28.41642,2.3969470852591712e-09,2.9802322387695312e-08,0.22375134,0.0008672268,0.06409368,0.00024803358,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer3_0_downsample_1.png
activations,end,layer3.1.conv1,819200000,-185.96039,254.90086,9.313225746154785e-10,5.960464477539063e-08,2.0070934,0.0077791945,0.43366095,0.0016943762,0.0,0.0,0.0,/content/drive/MyDrive/Colab_Notebooks/results/training/plots/activations_end_layer3_1_conv1.png
